row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AC073551.1	6.114595376464096	-1.0800616234370704	0.95826279071831455	-1.1271037902113004	0.2596986010423718	0.6870371041737681
AC073569.1	0	NA	NA	NA	NA	NA
AC073610.5	0	NA	NA	NA	NA	NA
AC073621.2	1.5322629410843838	-1.2331810778827716	1.6065542577789174	-0.7675937939299111	0.44272855059172983	NA
AC073657.1	3.208382885644149	-1.4139062100580921	1.0072520683097186	-1.4037262911068373	0.1604003703413703	NA
AC073850.6	0.5859878295631926	-1.221385110180187	2.2980818360696165	-0.5314802506202774	0.5950860234270254	NA
AC073869.1	7.816823474758668	-1.014017115948561	1.714388192086121	-0.5914746267090613	0.5542024511340948	0.8548071927433905
AC073869.10	0	NA	NA	NA	NA	NA
AC073869.13	0.05526394861580007	-0.21271741101663263	3.47306314760016	-0.0612477809865385	0.9511618774069004	NA
AC073869.2	1.346646377415319	-3.281660484296563	2.6574869142724884	-1.2348736193852332	0.21687754291601521	NA
AC073869.20	0.9032127233562245	-1.01873551260534	3.346947081335543	-0.3043775380514324	0.7608402785094346	NA
AC073869.7	0	NA	NA	NA	NA	NA
AC073869.8	0	NA	NA	NA	NA	NA
AC073900.4	0	NA	NA	NA	NA	NA
AC073940.1	0.7777790657266039	-1.6778682086245056	1.7719311616944207	-0.9469150071383322	0.3436820901517262	NA
AC073958.2	0.46856360488116516	-0.7954682489042795	2.8103100225174096	-0.2830535572697128	0.7771357821885438	NA
AC073987.2	0	NA	NA	NA	NA	NA
AC074008.1	1.916478596571015	0.6509226262225681	1.355479210233045	0.48021586853453563	0.631073904413965	NA
AC074019.2	1.4782512775399288	0.17945485078354256	1.0195008739735694	0.17602226281975208	0.8602764523170828	NA
AC074091.13	10.464823315519789	-2.1007070849061567	0.7212558832602565	-2.9125683875331965	0.003584696970717659	0.12341849375280604
AC074117.13	0.8785797714010681	-0.8740662666852326	1.6713888370641907	-0.5229580617640942	0.6010034381947336	NA
AC074121.4	0	NA	NA	NA	NA	NA
AC074212.3	4.719697832629127	-2.326568274011219	1.3776636384381291	-1.6887781669616195	0.0912619493571522	0.4809646796724368
AC074290.1	1.462453923618713	-0.37474565138594546	2.3207243627185705	-0.1614778805299206	0.8717170315057772	NA
AC074338.4	2.2209482033702272	-2.2011001226967566	1.3488029153749765	-1.631891581495311	0.10270232780026949	NA
AC074338.5	0.39739072003998294	-1.5533082153958357	2.8475967017469146	-0.5454804096531395	0.5854231505368281	NA
AC074367.1	11.71213354805129	-0.6795126823770337	0.6032347079587332	-1.126448252084856	0.25997583257549184	0.6874894815728068
AC074375.1	0.28334721926746276	-0.34822842168294293	2.99357988236422	-0.11632508079521328	0.9073949089415558	NA
AC074378.1	0.07070491960854525	-0.21271741101663283	3.47306314760016	-0.06124778098653856	0.9511618774069004	NA
AC074389.6	2.205067215667042	-3.2429452803717163	1.3481256089142717	-2.4055216063905642	0.016149396957834686	NA
AC078899.1	2.7890174159700565	-1.7452638645832663	1.4709315590207281	-1.1865024269009325	0.23542394363436916	NA
AC078899.2	0.11434130538812896	-0.47502159247927245	3.47306314760016	-0.13677309403588184	0.8912101515959397	NA
AC078899.3	1.7775937931619485	-2.9340532181051904	2.082566772751572	-1.408863934878112	0.15887540556201	NA
AC078899.4	0.6705712333192628	-2.3058773349525956	3.3604222676382443	-0.6861867799052531	0.4925953332279061	NA
AC078925.1	0.626662824213916	0.7971450352168095	1.733688262113777	0.459797215356872	0.6456617821678352	NA
AC078974.2	0	NA	NA	NA	NA	NA
AC079112.1	0.21211475882563585	-0.7373257739419119	3.47306314760016	-0.21229840708522507	0.8318742380710097	NA
AC079150.2	0	NA	NA	NA	NA	NA
AC079199.2	0.3578385775264322	-0.6006795979078077	2.0899854685540267	-0.28740850448275734	0.7737995501427878	NA
AC079210.1	106.77506573326009	0.5402401832525434	0.40518217585816113	1.333326625506994	0.18242463976377285	0.6153856321432066
AC079248.1	5.132114734150486	1.4137322056048105	0.7557154281018068	1.8707203175086673	0.061383857145941106	0.4205551539280189
AC079250.1	1.6642260440982697	-1.968923644425436	1.7385094407246144	-1.132535491785874	0.2574093717050729	NA
AC079305.5	0.07762688427755647	-0.21271741101663263	3.47306314760016	-0.0612477809865385	0.9511618774069004	NA
AC079325.5	0.2792967174519238	-1.0130644635144008	3.472516842997627	-0.2917378113103347	0.7704870969253043	NA
AC079325.6	0.29316086476102104	0.8992172294421523	2.9081177952786277	0.3092093555845794	0.7571622776701228	NA
AC079341.1	2.7226010629528834	-2.167467710526237	1.815120193414905	-1.194118008487602	0.23243180975545205	NA
AC079354.1	407.372093615361	3.2594406356465244	1.0847038414995116	3.0049129642065457	NA	NA
AC079354.2	0.9827931253807701	0.4501515468765995	1.7746823033097545	0.2536519049280392	0.7997644933034976	NA
AC079354.6	1.9175429694818533	-0.044925667657187654	1.0715238999320849	-0.04192689277395971	0.9665569779094617	NA
AC079395.1	0.49569398895951083	-0.9211052527116977	3.464929828370997	-0.26583662536818137	0.7903650348074649	NA
AC079448.1	0.22630713334537594	0.2525406058035723	3.47306314760016	0.0727140841012564	0.9420336407271297	NA
AC079602.1	3.5287403487842326	-1.7081073921832504	0.9701277815204805	-1.7607035121766486	0.07828859799601161	NA
AC079612.1	0.7173368718025191	-2.3676743437436616	3.446544754676585	-0.6869704333683716	0.4921013604285747	NA
AC079741.2	0.13566065063769264	-0.47502159247927217	3.47306314760016	-0.13677309403588175	0.8912101515959397	NA
AC079753.4	20.938997676328388	-0.32956620318626456	0.5549141673933313	-0.593904828082472	0.5525757696261779	0.8539697354984812
AC079753.5	0.5885242732297119	-2.088098479129857	2.0077729177927646	-1.0400072939649958	0.29833651194237326	NA
AC079767.3	0.2941710059366224	2.5934850222682146	3.394135503088323	0.7641076851258305	0.44480307290914073	NA
AC079776.2	0.8622914361276055	-0.925296152037121	2.434322196667229	-0.3801042250298343	0.7038680496355763	NA
AC079776.4	0.21770237020827538	-0.7373257739419119	3.47306314760016	-0.21229840708522507	0.8318742380710097	NA
AC079776.6	0.6089971588997628	-2.1350194610791964	3.34315110975493	-0.6386248754504262	0.5230669948147775	NA
AC079780.3	0.05526394861580007	-0.21271741101663263	3.47306314760016	-0.0612477809865385	0.9511618774069004	NA
AC079781.5	1.2407245002456053	-2.328792613374564	1.835218704792931	-1.2689455525341997	0.20446048396936076	NA
AC079781.7	0.16518118113449148	-0.7373257739419119	3.47306314760016	-0.21229840708522507	0.8318742380710097	NA
AC079781.8	1.8709694698923152	-0.4303951884433579	1.2832440005160615	-0.3353962210384563	0.7373262182223492	NA
AC079807.1	0.621625208709436	-2.1611094934781216	2.805926591528093	-0.7701945945425438	0.44118446989225435	NA
AC079807.3	33.71524209927111	-0.6605117669895739	0.45316692653266816	-1.4575462777995971	0.14496564665573605	0.5706289030704499
AC079809.2	0.17990445209918282	0.2071136057616289	3.47306314760016	0.05963427584227532	0.9524469187623866	NA
AC079834.1	0.3619563358614118	0.43182330438354116	2.869181012971738	0.15050402969740923	0.8803669717127697	NA
AC079922.2	1.5161039819498845	-1.3367146619151933	1.437350242265615	-0.9299853456790076	0.3523786719794795	NA
AC079987.2	0.04522712389869246	-0.21271741101663283	3.47306314760016	-0.06124778098653856	0.9511618774069004	NA
AC080002.1	0.07030797516172707	-0.21271741101663288	3.47306314760016	-0.061247780986538575	0.9511618774069004	NA
AC080125.1	21.703693886526267	0.1018706139873972	0.9630637273238948	0.10577764596167412	0.9157587732081223	0.9804501179185713
AC083760.1	0	NA	NA	NA	NA	NA
AC083799.1	6.789740940391992	-0.014839525636987882	0.8993095911880074	-0.01650102009629915	0.9868346882802621	0.9969577598953322
AC083822.2	3.0525673267415256	0.38415158062498084	1.147999187482197	0.3346270492294562	0.7379064377865723	NA
AC083855.5	4.348593515040536	0.9559487063848388	0.7428573980313615	1.2868535857867045	0.1981453255059616	NA
AC083862.1	0	NA	NA	NA	NA	NA
AC083862.6	7.9962151953838365	0.6968805215928826	0.8460622880977027	0.8236751967278411	0.41012413632960587	0.7847040954201823
AC083863.5	0.20569393026435392	-0.7373257739419122	3.47306314760016	-0.21229840708522518	0.8318742380710096	NA
AC083873.4	1.6144932210753498	-1.0190581591310677	1.4129016608836444	-0.7212520073716506	0.4707544790063299	NA
AC083875.2	1.03523968805941	-1.0246301154762447	1.804300929298314	-0.5678820527320348	0.5701150592818451	NA
AC083899.1	5.318222318359607	-1.3325050954707591	0.7321637635232893	-1.819954990750336	0.0687658594757588	0.4361260932556218
AC083899.3	232.953580538725	-1.8962457869180798	0.5481848774658545	-3.4591355304875107	5.419121464641135e-4	0.04735072695548412
AC083939.1	0	NA	NA	NA	NA	NA
AC084121.14	0.14636036382082407	-0.47502159247927217	3.47306314760016	-0.13677309403588175	0.8912101515959397	NA
AC084121.17	2.139503873399002	-3.9456105379212807	2.3471981491121845	-1.6809874102080762	0.0927653600038525	NA
AC084125.1	0.5775625040689094	-0.6981675418060875	2.4035586394370516	-0.2904724396362589	0.7714548322846185	NA
AC084125.2	1.2005658295943429	-0.758650411808815	1.4478646866327485	-0.5239788074210052	0.6002932800457921	NA
AC084290.2	0.49176095841828643	0.8553247648101647	2.0023174571495135	0.42716741131938174	0.6692573958566997	NA
AC087163.2	3.922589860558075	0.014998398755214462	1.1097151655969513	0.013515539140303939	0.9892164882936755	NA
AC087163.3	1.1629367059607356	0.38877229543398356	2.2956159977772423	0.16935423686296705	0.8655180171804677	NA
AC087239.1	0.47222622509500733	0.2536970221913978	2.030083537475252	0.12496875990970913	0.900548282398221	NA
AC087269.1	0	NA	NA	NA	NA	NA
AC087380.14	0.684285263715549	-0.8624634738631732	2.056241821309718	-0.4194367923680442	0.6748969397905491	NA
AC087392.1	8.02952585790702	-2.0823072633275763	0.8794576211656648	-2.3677175718457146	0.01789819294217716	0.25214659837502273
AC087431.1	0.4144399534969614	1.5434966491537137	2.2762984868094733	0.6780730462625417	0.49772537965299585	NA
AC087477.1	0.45036025248206546	0.43101539194953875	3.409903119485965	0.12640106678881638	0.89941445775115	NA
AC087499.4	0.048844194148300886	0.7709255897633599	3.47306314760016	0.22197281103168515	0.8243350490108828	NA
AC087499.5	0.6722262425226818	0.6202097762729695	2.744688628098791	0.2259672627064369	0.8212268823815851	NA
AC087499.7	0.28851274518900105	0.9035055581843082	3.4613336021218104	0.26102816487565833	0.79407078754592	NA
AC087499.8	0	NA	NA	NA	NA	NA
AC087499.9	0.32971745634103383	0.032306515619415284	2.8509837260909876	0.011331708183305231	0.9909587984866115	NA
AC087645.1	0.5808857824269928	-0.09305863993103423	2.0095518029563024	-0.046308156771143354	0.9630646381223253	NA
AC087650.1	0.15351654737076487	0.5045415033466345	3.47306314760016	0.14527276985886822	0.884495513137313	NA
AC087897.1	0	NA	NA	NA	NA	NA
AC089999.1	0	NA	NA	NA	NA	NA
AC090018.1	0	NA	NA	NA	NA	NA
AC090043.1	0.6518228215474728	-1.3599906243678024	2.7577878411541095	-0.4931454856943087	0.6219097934377953	NA
AC090099.2	0.6955637635338735	-0.0927062762040453	2.379364707982549	-0.038962617161221354	0.9689201931516774	NA
AC090103.1	4.997821124589233	-0.0729611668596833	0.7199207361803182	-0.10134611102715725	0.9192757132909863	0.9814634013464754
AC090186.1	94.60097250801454	-0.6208531967548804	0.4639252440988073	-1.3382612924220403	0.18081127507194586	0.6136760277503991
